_id,groupKey,itemKey,intVal,realVal,booleanVal,textVal,blobVal
1,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,heisenbergcarro,
2,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,Heisenberg W,
3,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,1990-01-31,
4,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,heisenbergcarro@gmail.com,
5,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,1.0,,
6,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,,
7,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,+16506808040,
8,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,US,
9,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',1.0,,,,
10,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',1.0,,,,
11,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',1.0,,,,
12,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,99424070114_1-s5,
13,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,10220069,
14,UserScore	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n1\n\tUserScore\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x12\n\x04prop\x12\nuser_score',0.0,,,,
15,UserScore	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n1\n\tUserScore\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x12\n\x04prop\x12\nuser_score',0.0,,,,
16,UserScore	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n1\n\tUserScore\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x12\n\x04prop\x12\nuser_score',0.0,,,,
17,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',1617509931948.0,,,,
18,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,US,
19,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,,b'\nE\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data\x12\x08\n\x0211\x12\x02\x10\x02\x12\x08\n\x0222\x12\x02\n\x00\x12\x18\n\x0212\x12\x12\n\x1099424070114_1-s5\x12\x10\n\x0213\x12\n\n\x0810220069\x12\r\n\x0217\x12\x07X\xac\xb7\xeb\xd8\x89/\x12\n\n\x0218\x12\x04\n\x02US\x12\x08\n\x0219\x12\x02\x1a\x00\x12\x16\n\x011\x12\x11\n\x0fheisenbergcarro\x12\x13\n\x012\x12\x0e\n\x0cHeisenberg W\x12\x11\n\x013\x12\x0c\n\n1990-01-31\x12 \n\x014\x12\x1b\n\x19heisenbergcarro@gmail.com\x12\x07\n\x015\x12\x02 \x01\x12\x07\n\x016\x12\x02\n\x00\x12\x13\n\x017\x12\x0e\n\x0c+16506808040\x12\t\n\x018\x12\x04\n\x02US\x12\x07\n\x019\x12\x02\x10\x02\x12\x17\n\x0220\x12\x11\n\x0fheisenbergcarro\x12\x08\n\x0210\x12\x02\x10\x02\x12\x08\n\x0221\x12\x02\n\x00'
20,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,heisenbergcarro,
21,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,,
22,CoreData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\n0\n\x08CoreData\x12$9002a6f8-54f8-4540-bc16-53a6b37f0688\x1a\x11\n\x04prop\x12\tcore_data',,,,,
